client_code;installment;first_amount_spent;number_of_products;Y;center;age51_89;age36_50;dim_big;dim_medium;age15_35;sex;north;south_and_islands;dim_small
10500561;0;520000;2;0;0;0;0;0;1;1;0;0;1;0
10502394;1;1484000;2;0;0;0;1;0;0;0;1;0;1;1
10521224;0;2459000;1;0;0;1;0;0;1;0;1;0;1;0
1052312E;0;3389000;2;0;1;0;1;1;0;0;1;0;0;0
10579494;1;3823000;2;0;0;0;0;0;0;1;1;0;1;1
10581405;1;1391000;2;0;0;0;0;0;0;1;0;0;1;1
1059941E;0;2459000;1;0;0;1;0;0;1;0;1;1;0;0
10643214;1;1460000;1;0;0;0;0;0;0;1;0;0;1;1
10672923;0;1190000;2;0;1;0;1;0;1;0;0;0;0;0
10683186;1;3181000;2;0;0;0;1;0;0;0;1;0;1;1
10686320;1;2385000;1;0;0;0;0;0;0;1;1;0;1;1
10689923;1;1395000;1;0;0;0;0;0;0;1;1;0;1;1
10691146;1;1395000;1;0;0;0;1;0;0;0;1;0;1;1
10691960;0;2658000;3;0;0;0;0;0;0;1;1;0;1;1
10693041;1;2333000;3;0;0;0;0;0;0;1;0;0;1;1
10704930;1;3555000;1;0;0;0;1;0;0;0;1;0;1;1
10721509;1;1563000;1;0;0;0;1;0;0;0;0;0;1;1
10774335;0;1953000;3;0;0;0;1;0;1;0;1;0;1;0
10774475;0;738000;3;0;0;0;1;0;1;0;1;0;1;0
10775315;0;5106000;3;1;0;0;0;0;1;1;1;0;1;0
10777334;0;3808000;2;1;0;1;0;0;1;0;0;0;1;0
10777369;0;1953000;3;0;0;0;0;0;1;1;1;0;1;0
10777512;0;5259000;2;0;0;0;1;0;1;0;1;0;1;0
10778683;0;2480000;1;0;0;0;1;0;1;0;1;0;1;0
10778713;0;4041000;4;0;0;1;0;0;0;0;0;0;1;1
10779949;1;3645000;1;0;0;0;0;0;0;1;0;0;1;1
10780351;1;2940000;1;0;0;0;0;0;0;1;1;0;1;1
1078036E;1;2940000;1;0;0;0;1;0;0;0;0;0;1;1
10781021;0;3645000;1;0;0;0;1;0;1;0;1;0;1;0
10781218;0;6058000;2;0;0;0;0;1;0;1;0;0;1;0
10781935;0;810000;1;0;0;0;0;0;1;1;0;0;1;0
10806733;0;1933000;1;0;0;1;0;1;0;0;1;0;1;0
1086041E;0;1161000;2;0;0;0;1;0;0;0;0;0;1;1
10928707;0;1;2;1;0;0;1;0;0;0;1;0;1;1
1405731E;0;3680000;2;0;0;0;1;0;1;0;1;0;1;0
14100126;0;980000;2;0;1;0;1;0;1;0;1;0;0;0
1420052E;0;3680000;2;0;0;0;1;0;1;0;0;0;1;0
14312107;1;1768000;1;0;0;0;0;0;1;1;0;0;1;0
14312727;0;445000;2;0;0;0;1;0;1;0;0;0;1;0
14313537;1;467000;2;1;0;0;1;0;1;0;0;0;1;0
14313685;1;2600000;3;1;0;0;1;0;1;0;0;0;1;0
14738201;1;2600000;3;1;0;0;1;0;0;0;1;0;1;1
14761769;1;726000;1;0;1;0;0;0;0;1;0;0;0;1
14772760;1;1200000;4;0;1;0;0;0;1;1;0;0;0;0
1477304E;1;652000;4;0;1;0;0;0;0;1;0;0;0;1
2220539E;0;220000;1;1;0;0;1;1;0;0;1;0;1;0
22365095;0;3700000;4;0;0;1;0;0;1;0;1;0;1;0
22366946;0;3060000;3;0;0;0;1;0;0;0;1;1;0;1
22368108;0;280000;1;0;0;0;1;0;0;0;1;0;1;1
22380361;0;1950000;1;0;0;0;0;0;1;1;1;1;0;0
22410694;0;1425000;3;0;0;0;1;0;0;0;1;1;0;1
22421017;0;1061000;3;0;0;1;0;0;0;0;1;1;0;1
22422374;0;650000;2;0;0;1;0;0;1;0;0;1;0;0
22429751;0;1888000;3;0;0;0;1;0;1;0;0;0;1;0
22434747;0;199000;1;0;0;0;0;0;1;1;1;0;1;0
22443355;0;740000;1;0;1;1;0;0;1;0;1;0;0;0
22455094;0;1400000;2;0;0;0;1;0;1;0;0;0;1;0
22474994;0;1279000;3;0;1;0;1;0;1;0;1;0;0;0
22484892;0;290000;1;0;1;0;1;1;0;0;1;0;0;0
22497773;0;1090000;3;0;1;0;1;1;0;0;1;0;0;0
22504613;0;590000;2;0;0;0;1;0;1;0;1;1;0;0
22505679;0;680000;3;1;0;0;0;0;1;1;1;1;0;0
22506853;0;290000;2;0;0;0;0;1;0;1;0;1;0;0
22514228;0;490000;2;0;1;1;0;0;0;0;1;0;0;1
22515763;0;290000;1;0;0;1;0;0;1;0;1;1;0;0
22516069;0;546000;2;0;0;0;0;0;1;1;1;1;0;0
22516573;0;290000;1;0;0;1;0;0;1;0;1;1;0;0
22516581;0;800000;1;0;0;0;0;0;0;1;1;1;0;1
22521186;0;550000;5;0;0;0;1;0;0;0;1;0;1;1
22524274;0;199000;1;0;0;0;0;1;0;1;1;1;0;0
22525297;0;690000;2;0;1;0;1;1;0;0;1;0;0;0
22535063;0;809800;4;0;0;1;0;0;1;0;0;1;0;0
2253685E;0;199000;1;0;0;0;0;0;1;1;1;0;1;0
22537481;0;690000;1;0;0;0;0;0;1;1;1;1;0;0
22537627;0;39000;1;0;0;1;0;0;1;0;0;1;0;0
22539239;0;740000;3;0;0;0;0;0;0;1;1;0;1;1
22540660;0;450000;2;0;0;1;0;0;1;0;1;1;0;0
22542175;0;160000;1;0;0;0;0;0;1;1;1;1;0;0
22562729;0;290000;1;0;1;0;1;1;0;0;1;0;0;0
2256957E;0;780000;1;0;0;0;0;0;0;1;1;1;0;1
2257056E;0;560000;3;0;0;1;0;0;1;0;1;1;0;0
22574956;0;800000;1;0;1;0;1;0;1;0;1;0;0;0
22584145;0;2065000;5;0;0;0;0;0;1;1;0;1;0;0
22588639;0;725000;2;0;1;0;0;0;1;1;0;0;0;0
22596496;0;3700000;6;0;0;0;1;0;0;0;1;1;0;1
22596755;0;290000;2;0;1;0;1;0;1;0;0;0;0;0
22596976;0;2421600;22;0;0;0;1;1;0;0;1;0;1;0
38208423;0;1590000;2;0;0;0;0;0;1;1;1;0;1;0
47203269;1;412000;2;0;0;0;1;0;0;0;0;0;1;1
47205601;1;2099000;1;0;0;1;0;0;0;0;1;0;1;1
47209127;0;412000;1;0;0;0;0;0;1;1;1;0;1;0
49200194;0;1686000;1;0;0;0;1;0;0;0;1;0;1;1
49204033;0;1872000;1;0;0;0;0;0;0;1;0;1;0;1
50202596;0;1391000;2;0;0;1;0;0;1;0;1;0;1;0
50202952;0;1391000;2;0;0;1;0;0;1;0;1;0;1;0
50204491;0;323000;2;0;0;0;1;0;1;0;0;0;1;0
63202441;0;1953000;3;0;0;0;1;1;0;0;1;0;1;0
66083095;0;131394;2;0;0;0;0;0;0;1;0;1;0;1
72332174;0;410000;3;1;1;0;1;1;0;0;0;0;0;0
72350113;0;500000;3;1;1;1;0;0;1;0;1;0;0;0
72351152;1;350000;2;1;0;0;1;0;1;0;1;1;0;0
72358602;1;120000;1;1;0;0;1;0;1;0;0;0;1;0
72866411;1;96000;1;1;0;0;1;0;0;0;0;1;0;1
72902159;0;340000;2;1;1;0;1;0;1;0;1;0;0;0
72913681;0;290000;1;1;0;0;1;0;0;0;1;0;1;1
73009857;0;410000;2;1;1;0;1;0;0;0;1;0;0;1
73051691;0;1090000;3;1;0;1;0;0;1;0;1;1;0;0
